Schul-ID;Förderprogramm;Straße;;;;;;;;;;;;;;;;;
134247;Bund;Hülschotter Str. 8;;;;;;;;;;;;;;;;;
134259;Bund;Schulstr. 6;;;;;;;;;;;;;;;;;
134260;Bund;Fuchsring 21 (Teilstandort);;;;;;;;;;Teilstandort;;;Steinhauser Weg;17;58710;Menden;Ausgebaut
134260;Land;Westwall 44 (Hauptstandort);;;;;;;;;;Teilstandort;;;Lindenstraße;16;58089;Hagen;Land
134296;Bund;Am Buscheid 2;;;;;;;;;;Teilstandort;;;Berchumer Straße;68;58093;Hagen;Land
134296;Bund;Schulweg 6;;;;;;;;;;möglicher zukünftiger Standort;;4;Holthausstraße;15;58332;Schwelm;Bund
134296;Bund;Listerstraße 17;;;;;;;;;;;;;;;;;
134387;Bund;Alter Weg 39;;;;;;;;;;;;;;;;;
134387;Bund;Gutenbergstr. 1;;;;;;;;;;;;;;;;;
134387;Bund;Lenscheider Str. 34;;;;;;;;;;;;;;;;;
134399;Land;Schulstraße 10;;;;;;;;;;;;;;;;;
134405;Bund;Spreeweg 25;;;;;;;;;;;;;;;;;
134405;Bund;Zur Schlerre 8;;;;;;;;;;;;;;;;;
134417;Bund;Schulstr. 3;;;;;;;;;;;;;;;;;
134429;Bund;Bergstr. 15;;;;;;;;;;;;;;;;;
134454;Bund;Flaper Str. 23;;;;;;;;;;;;;;;;;
134480;Bund;Hochstr. 16;;;;;;;;;;;;;;;;;
134480;Land;Fürstenbergstr. 10;;;;;;;;;;;;;;;;;
134521;Land;Grundschulweg 10;;;;;;;;;;;;;;;;;
134521;Land;Kastanienweg 26;;;;;;;;;;;;;;;;;
134533;Bund;Fasanenweg 6;;;;;;;;;;;;;;;;;
134569;Land;Schulstr. 4;;;;;;;;;;;;;;;;;
134570;Land;Joh.-Dosch-Straße 2;;;;;;;;;;;;;;;;;
134570;Land;Osterfeldstr. 10;;;;;;;;;;;;;;;;;
134582;Bund;Am Kreuzberg 3;;;;;;;;;;;;;;;;;
134600;Land;Rüblinghauser Str. 13;;;;;;;;;;;;;;;;;
134600;Land;Am Buchhagen 2;;;;;;;;;;;;;;;;;
134648;Bund;Bergstr. 18;;;;;;;;;;;;;;;;;
134661;Bund;Eichhagenstraße 10;;;;;;;;;;;;;;;;;
134685;Land;Kardinal-Jaeger-Str. 9;;;;;;;;;;;;;;;;;
134703;Bund;Rinscheidstr. 12;;;;;;;;;;;;;;;;;
134703;Bund;Westerbergstr. 1;;;;;;;;;;;;;;;;;
150034;Bund;An der Hauptschule 4;;;;;;;;;;;;;;;;;
150071;Land;Aufm Ohl 12d;;;;;;;;;;;;;;;;;
158215;Land;Hangstraße 11;;;;;;;;;;;;;;;;;
158215;Bund;Geschwister-Scholl-Str. 34;;;;;;;;;;;;;;;;;
163521;Eigenwirtschaftlich;St.-Ursula-Str. 12;;;;;;;;;;;;;;;;;
163557;Land;Aufm Ohl 12a;;;;;;;;;;;;;;;;;
163569;Bund;Lehmbergstr. 74;;;;;;;;;;;;;;;;;
170227;Eigenwirtschaftlich;St.-Ursula-Str. 12;;;;;;;;;;;;;;;;;
170239;Bund;Westwall 48;;;;;;;;;;;;;;;;;
170240;Bund;Am Biertappen 45;;;;;;;;;;;;;;;;;
170252;Eigenwirtschaftlich;Olper Str. 46-48;;;;;;;;;;;;;;;;;
170276;Land;Seminarstr. 1;;;;;;;;;;;;;;;;;
181870;Bund;Hohler Weg 23;;;;;;;;;;;;;;;;;
181870;Bund;Zur Berufsschule 1;;;;;;;;;;;;;;;;;
181870;Bund;Kurfürst-Heinrich-Str. 34;;;;;;;;;;;;;;;;;
183970;Bund;Am Stürzenberg 2 (Teilstandort);;;;;;;;;;;;;;;;;
183970;Bund;Südwall 68 (Hauptstandort);;;;;;;;;;;;;;;;;
185723;Bund;Bodelschwinghstraße 9;;;;;;;;;;;;;;;;;
185735;Bund;Bodelschwinghstr. 13;;;;;;;;;;;;;;;;;
186491;Bund;Kölner Straße 46 a;;;;;;;;;;;;;;;;;
187069;Bund;Kölner Straße 46 a;;;;;;;;;;;;;;;;;
187720;Bund;Bodelschwinghstr. 13;;;;;;;;;;;;;;;;;
189716;Bund;Bodelschwinghstr. 13;;;;;;;;;;;;;;;;;
194657;Land;Auf dem Gallenberg 8;;;;;;;;;;;;;;;;;
196988;Bund;Wiesbadener Str. 10;;;;;;;;;;;;;;;;;
197142;Bund;Kopernikusstr. 22-24;;;;;;;;;;;;;;;;;
198006;Bund;Peter-Dassis-Ring 47;;;;;;;;;;;;;;;;;
198092;Bund;Herrnscheider Weg 33;;;;;;;;;;;;;;;;;
198092;Bund;Quellenweg 6 – 10;;;;;;;;;;;;;;;;;
198092;Bund;Herrnscheider Weg 33;;;;;;;;;;;;;;;;;
198821;Bund;Aufm Ohl 12a;;;;;;;;;;;;;;;;;
198821;Bund;An der Hauptschule 4;;;;;;;;;;;;;;;;;
131209;Bund;Ardeystr.;;;;;;;;;;;;;;;;;
131210;Bund;Crengeldanzstr.;;;;;;;;;;;;;;;;;
131222;Bund;In der Dickete;;;;;;;;;;;;;;;;;
131234;Bund;Steinhügel;;;;;;;;;;;;;;;;;
131246;Bund;Hellweg;;;;;;;;;;;;;;;;;
131260;Bund;Hüllbergweg;;;;;;;;;;;;;;;;;
131271;Bund;Holzkampstr.;;;;;;;;;;;;;;;;;
131283;Bund;Hörder Str.;;;;;;;;;;;;;;;;;
131295;Bund;In den Höfen;;;;;;;;;;;;;;;;;
131301;Bund;Große Borbach;;;;;;;;;;;;;;;;;
131313;Bund;Gerichtsstr.;;;;;;;;;;;;;;;;;
131325;Bund;Breddestr.;;;;;;;;;;;;;;;;;
131337;Bund;Auf dem Brenschen;;;;;;;;;;;;;;;;;
132652;Bund;Ostring;;;;;;;;;;;;;;;;;
132706;Bund;Erlenstr.;;;;;;;;;;;;;;;;;
132718;Bund;Deterberger Str.;;;;;;;;;;;;;;;;;
132720;Bund;Fettweide;;;;;;;;;;;;;;;;;
132731;Bund;Bussardweg;;;;;;;;;;;;;;;;;
132755;Bund;Kirchstraße;;;;;;;;;;;;;;;;;
132779;Land;Teichstr.;;;;;;;;;;;;;;;;;
132780;Land;Alter Hohlweg;;;;;;;;;;;;;;;;;
132792;Land;Grünewaldstr.;;;;;;;;;;;;;;;;;
132810;Bund;Brandteich;;;;;;;;;;;;;;;;;
132822;Bund;Habichtstraße;;;;;;;;;;;;;;;;;
132834;Bund;Regerstr. ;;;;;;;;;;;;;;;;;
132860;Bund;Bahnhofstraße;;;;;;;;;;;;;;;;;
132883;Bund;Blankensteiner Str.;;;;;;;;;;;;;;;;;
132895;Bund;Lessingstraße;;;;;;;;;;;;;;;;;
132901;Bund;Am Hagen;;;;;;;;;;;;;;;;;
132937;Bund;Rüggenweg;;;;;;;;;;;;;;;;;
132950;Bund;Vidumestr.;;;;;;;;;;;;;;;;;
132962;Bund;Richard-Dehmel-Str.;;;;;;;;;;;;;;;;;
132974;Bund;Buchholzer Str.;;;;;;;;;;;;;;;;;
132986;Bund;Vormholzer Ring;;;;;;;;;;;;;;;;;
133000;Bund;Wilhelmstraße;;;;;;;;;;;;;;;;;
133024;Bund;Am Berge;;;;;;;;;;;;;;;;;
133036;Bund;Neue Straße;;;;;;;;;;;;;;;;;
133048;Bund;Bahnhofstraße;;;;;;;;;;;;;;;;;
133050;Bund;Hattinger Str.;;;;;;;;;;;;;;;;;
133073;Bund;Engelbertstraße;;;;;;;;;;;;;;;;;
133085;Bund;Ländchenweg;;;;;;;;;;;;;;;;;
133097;Bund;Jahnstraße;;;;;;;;;;;;;;;;;
133115;Bund;Hobeuken;;;;;;;;;;;;;;;;;
133127;Bund;Geschwister-Scholl-Str.;;;;;;;;;;;;;;;;;
133139;Bund;Dresdener Str.;;;;;;;;;;;;;;;;;
133140;Bund;Zum Sportplatz;;;;;;;;;;;;;;;;;
133152;Bund;Königstr.;;;;;;;;;;;;;;;;;
133164;Bund;Bergstr.;;;;;;;;;;;;;;;;;
133176;Bund;Steinkampstraße;;;;;;;;;;;;;;;;;
133190;Bund;Albringhauser Straße;;;;;;;;;;;;;;;;;
133206;Bund;Schulstr.;;;;;;;;;;;;;;;;;
148805;Bund;Hamburgstr.;;;;;;;;;;;;;;;;;
149378;Bund;Friedenshöhe;;;;;;;;;;;;;;;;;
149408;Bund;Am Hofe;;;;;;;;;;;;;;;;;
157727;Bund;Beek;;;;;;;;;;;;;;;;;
157727;Bund;Husemannstraße;;;;;;;;;;;;;;;;;
157934;Bund;Lohernockenstr.;;;;;;;;;;;;;;;;;
157958;Land;Am Hofe;;;;;;;;;;;;;;;;;
158010;Bund;Langenbruchstraße;;;;;;;;;;;;;;;;;
158021;Bund;Hartmannstr.;;;;;;;;;;;;;;;;;
163090;Bund;Am Viehmarkt;;;;;;;;;;;;;;;;;
163107;Bund;Almstr.;;;;;;;;;;;;;;;;;
163302;Bund;Breslauer Platz;;;;;;;;;;;;;;;;;
163314;Bund;Alte Geer;;;;;;;;;;;;;;;;;
163326;Bund;Grünstr.;;;;;;;;;;;;;;;;;
163340;Bund;Ländchenweg;;;;;;;;;;;;;;;;;
169717;Bund;Breddestr.;;;;;;;;;;;;;;;;;
169729;Bund;Synagogenstr.;;;;;;;;;;;;;;;;;
169730;Bund;Oberdorf;;;;;;;;;;;;;;;;;
169950;Bund;Peddinghausstr.;;;;;;;;;;;;;;;;;
169961;Bund;Ochsenkamp;;;;;;;;;;;;;;;;;
169973;Bund;Lindstockstraße;;;;;;;;;;;;;;;;;
169985;Bund;Waldstr.;;;;;;;;;;;;;;;;;
169997;Bund;Hengsteyseestraße;;;;;;;;;;;;;;;;;
170008;Bund;Präsidentenstr.;;;;;;;;;;;;;;;;;
170010;Bund;Hoffmann-v-Fallersl-Str.;;;;;;;;;;;;;;;;;
180919;Bund;Pferdebachstr.;;;;;;;;;;;;;;;;;
181365;Bund;Wilhelmshöher Str.;;;;;;;;;;;;;;;;;
181390;Bund;Raabestraße;;;;;;;;;;;;;;;;;
181420;Bund;Am Grünewald;;;;;;;;;;;;;;;;;
184100;Bund;Rebecca-Hanf-Str.;;;;;;;;;;;;;;;;;
185334;Bund;Kämperfeld;;;;;;;;;;;;;;;;;
185863;Bund;Hengsteyseestraße;;;;;;;;;;;;;;;;;
186557;Bund;Am Schultenhof;;;;;;;;;;;;;;;;;
186661;Bund;Billerbeckstraße;;;;;;;;;;;;;;;;;
188141;Bund;Willy-Brandt-Str.;;;;;;;;;;;;;;;;;
188153;Bund;An der Wabeck;;;;;;;;;;;;;;;;;
189558;Bund;Geschwister-Scholl-Straße;;;;;;;;;;;;;;;;;
190007;Bund;Marxstraße;;;;;;;;;;;;;;;;;
190007;Land;Lange Horst;;;;;;;;;;;;;;;;;
190561;Bund;Gerhard-Kienle-Weg;;;;;;;;;;;;;;;;;
190950;Bund;Am Schilken;;;;;;;;;;;;;;;;;
191723;Bund;Am Sonnenstein;;;;;;;;;;;;;;;;;
191772;Bund;Husemannstraße;;;;;;;;;;;;;;;;;
192582;Bund;Genossenschaftsweg;;;;;;;;;;;;;;;;;
193069;Land;Am Hagen;;;;;;;;;;;;;;;;;
194013;Bund;Stockumer Straße;;;;;;;;;;;;;;;;;
194141;Bund;Bommerfelder Ring;;;;;;;;;;;;;;;;;
196903;Bund;Wahnscheider Str.;;;;;;;;;;;;;;;;;
197026;Bund;Wilhelmstr.;;;;;;;;;;;;;;;;;
197427;Bund;Kirchender Dorfweg;;;;;;;;;;;;;;;;;
198043;Bund;Amselweg;;;;;;;;;;;;;;;;;
188311;Bund;Agnesstr. 33 / Gretchenstr.;;;;;;;;;;;;;;;;;
179681;Bund;Akademiestr. 46/48;;;;;;;;;;;;;;;;;
183143;Land;Alleestr. 117 a/b;;;;;;;;;;;;;;;;;
128880;Land;Alte Bahnhofstr. 170;;;;;;;;;;;;;;;;;
128594;Land;Alte Wittener Str. 19;;;;;;;;;;;;;;;;;
128697;Bund;Am Neggenborn 75;;;;;;;;;;;;;;;;;
128960;Land;An der Maarbrücke 75;;;;;;;;;;;;;;;;;
128624;Land;Arndtstr. 27/29;;;;;;;;;;;;;;;;;
128612;Land;Arnoldstr. 31;;;;;;;;;;;;;;;;;
128995;Land;Auf dem Alten Kamp 35/37;;;;;;;;;;;;;;;;;
189546;Land;Axstr. 35;;;;;;;;;;;;;;;;;
131155;Land;Bochumer Str. 69/71;;;;;;;;;;;;;;;;;
128545;Land;Bonhoefferstr. 50;;;;;;;;;;;;;;;;;
128569;Land;Borgholzstr. 27;;;;;;;;;;;;;;;;;
179693;Bund;Bußmanns Weg 8;;;;;;;;;;;;;;;;;
128776;Land;Castroper Hellweg 556;;;;;;;;;;;;;;;;;
128491;Land;Castroper Str. 235;;;;;;;;;;;;;;;;;
197579;Land;Cruismannstr. 2;;;;;;;;;;;;;;;;;
189935;Bund;Deutsches Reich 58;;;;;;;;;;;;;;;;;
128557;Land;Donnerbecke 3;;;;;;;;;;;;;;;;;
128739;Land;Dr.-C.-Otto-Str. 112/114;;;;;;;;;;;;;;;;;
197117;Bund;Dr.-C.-Otto-Str. 88;;;;;;;;;;;;;;;;;
128636;Land;Drusenbergstr. 33;;;;;;;;;;;;;;;;;
187719;Land;Drusenbergstr. 33;;;;;;;;;;;;;;;;;
183131;Land;Eifelstr. 15/17;;;;;;;;;;;;;;;;;
194580;Land;Eislebener Str.;;;;;;;;;;;;;;;;;
179681;Bund;Fahrendeller Str. 25;;;;;;;;;;;;;;;;;
128806;Land;Fahrendeller Str. 27;;;;;;;;;;;;;;;;;
100048;Land;Feldsieper Str. 94;;;;;;;;;;;;;;;;;
128806;Bund;Feldsieper Str. 94;;;;;;;;;;;;;;;;;
128480;Bund;Frauenlobstr. 91;;;;;;;;;;;;;;;;;
128879;Land;Friederikastr. 19;;;;;;;;;;;;;;;;;
128843;Land;Friederikastr. 21;;;;;;;;;;;;;;;;;
100048;Bund;Gahlensche Str. 204 b;;;;;;;;;;;;;;;;;
169213;Bund;Goetheplatz 1;;;;;;;;;;;;;;;;;
